"N","a","b","cardinality","coverage_prob","x_set"
222,37,156,120,0.950924516501457,"37-156"
223,37,157,121,0.951936477334162,"37-157"
224,38,158,121,0.950693794335527,"38-158"
225,38,159,122,0.951697203815561,"38-159"
226,38,159,122,0.950468823972451,"38-159"
227,38,160,123,0.951470196091605,"38-160"
228,39,161,123,0.950212919245623,"39-161"
229,39,162,124,0.951206427642333,"39-162"
230,39,162,124,0.950016326305621,"39-162"
231,39,163,125,0.951007417496279,"39-163"
232,39,164,126,0.951975666547598,"39-164"
233,39,164,126,0.950764233108777,"39-164"
234,39,165,127,0.951730995520479,"39-165"
235,40,166,127,0.950548510504261,"40-166"
236,40,167,128,0.951507413202951,"40-167"
237,40,167,128,0.950332533134363,"40-167"
238,40,168,129,0.951289586671547,"40-168"
239,41,169,129,0.950093790103672,"41-169"
240,41,170,130,0.951043584360637,"41-170"
241,41,171,131,0.951972345556102,"41-171"
242,41,171,131,0.950851265574265,"41-171"
243,41,172,132,0.951778045229432,"41-172"
244,41,172,132,0.950618789970263,"41-172"
245,41,173,133,0.95154419848577,"41-173"
246,42,174,133,0.950416357502791,"42-174"
247,42,175,134,0.951334518944224,"42-175"
248,42,175,134,0.950208699208751,"42-175"
249,42,176,135,0.95112517478271,"42-176"
250,42,177,136,0.952022048065433,"42-177"
